driver,pred_top3_prob,rank,season,race,qualifying_position,gap_to_pole_norm,quali_stage,fp_long_run_pace,fp_consistency,avg_finish_last5,constructor_position,points_per_race,track_type,overtaking_difficulty,rain_probability,wet_track_flag,rain_x_quali,reliability,quali_x_pace,pace_consistency,form_x_quali,teammate_gap,temperature,humidity,wind_speed,temperature_vs_baseline,humidity_vs_baseline,wind_speed_vs_baseline,rain_probability_vs_baseline,target_top3,qualifying_position_contrib,quali_stage_contrib,quali_x_pace_contrib,points_per_race_contrib,gap_to_pole_norm_contrib,avg_finish_last5_contrib,reliability_contrib,constructor_position_contrib,humidity_contrib,temperature_vs_baseline_contrib,fp_consistency_contrib,overtaking_difficulty_contrib,fp_long_run_pace_contrib,form_x_quali_contrib,rain_x_quali_contrib,wet_track_flag_contrib,wind_speed_vs_baseline_contrib,pace_consistency_contrib,temperature_contrib,rain_probability_contrib,track_type_contrib,humidity_vs_baseline_contrib,rain_probability_vs_baseline_contrib,teammate_gap_contrib,wind_speed_contrib,top_features
LAW,0.0146027221036977,11,2026,Chinese Grand Prix,14.0,-0.0635045101720569,2,1.175307816631503,0.1609785930182712,,,,0,0.5,0.75,1,0.4772727272727273,1.0,0.7479231560382291,0.1891993986847157,0.0,0.0073776779466168,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,-36.5938,-2.2966,-0.6588,0.0,0.0422,0.0,0.5378,0.0,-19.4568,-1.3857,0.0389,-0.0886,-0.1901,0.0,0.0677,-0.1373,-0.5653,-0.022,1.9135,0.0466,0.0,0.0724,0.0154,-0.0001,0.0394,"qualifying_position_contrib (-36.59), humidity_contrib (-19.46), quali_stage_contrib (-2.30)"
SAI,0.0136848089839458,12,2026,Chinese Grand Prix,17.0,-0.4921864287542987,1,1.163302715550373,0.1050060356968653,,11.0,0.0,0,0.5,0.75,1,0.5795454545454546,1.0,0.8989157347434701,0.1221538064753428,0.0,0.1766759718794637,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,-44.4354,-1.1483,-0.7918,0.0,0.3273,0.0,0.5378,5.8993,-19.4568,-1.3857,0.0253,-0.0886,-0.1882,0.0,0.0822,-0.1373,-0.5653,-0.0142,1.9135,0.0466,0.0,0.0724,0.0154,-0.0014,0.0394,"qualifying_position_contrib (-44.44), humidity_contrib (-19.46), constructor_position_contrib (5.90)"
OCO,0.012938287878932,13,2026,Chinese Grand Prix,13.0,0.1127831628681094,2,1.232562728458826,0.2052203923589243,,5.0,6.0,0,0.5,0.75,1,0.4431818181818182,1.0,0.7283325213620336,0.2529470067413066,0.0,-0.0955215144666945,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,-33.98,-2.2966,-0.6416,4.2481,-0.075,0.0,0.5378,2.6815,-19.4568,-1.3857,0.0495,-0.0886,-0.1994,0.0,0.0629,-0.1373,-0.5653,-0.0294,1.9135,0.0466,0.0,0.0724,0.0154,0.0008,0.0394,"qualifying_position_contrib (-33.98), humidity_contrib (-19.46), points_per_race_contrib (4.25)"
HAD,0.0109152235430221,14,2026,Chinese Grand Prix,9.0,0.4366243948405695,3,1.2112971511080224,0.2113281603431437,,,,0,0.5,0.75,1,0.3068181818181818,0.0,0.4955306527260092,0.2559811985725493,0.0,-0.046207561876166,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,-23.5246,-3.445,-0.4365,0.0,-0.2904,0.0,0.0,0.0,-19.4568,-1.3857,0.051,-0.0886,-0.1959,0.0,0.0435,-0.1373,-0.5653,-0.0297,1.9135,0.0466,0.0,0.0724,0.0154,0.0004,0.0394,"qualifying_position_contrib (-23.52), humidity_contrib (-19.46), quali_stage_contrib (-3.44)"
ALB,0.0107368718951394,15,2026,Chinese Grand Prix,18.0,-0.8455383725132263,1,1.178182680799215,0.1375052894803188,,11.0,0.0,0,0.5,0.75,1,0.6136363636363636,1.0,0.9639676479266306,0.1620063505839941,0.0,-0.1766759718794638,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,-47.0492,-1.1483,-0.8491,0.0,0.5623,0.0,0.5378,5.8993,-19.4568,-1.3857,0.0332,-0.0886,-0.1906,0.0,0.087,-0.1373,-0.5653,-0.0188,1.9135,0.0466,0.0,0.0724,0.0154,0.0014,0.0394,"qualifying_position_contrib (-47.05), humidity_contrib (-19.46), constructor_position_contrib (5.90)"
LIN,0.01,16,2026,Chinese Grand Prix,15.0,-0.0782598660652907,2,1.194310159501596,0.0,,,,0,0.5,0.75,1,0.5113636363636364,1.0,0.814302381478361,0.0,0.0,-0.0073776779466168,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,-39.2077,-2.2966,-0.7173,0.0,0.052,0.0,0.5378,0.0,-19.4568,-1.3857,0.0,-0.0886,-0.1932,0.0,0.0725,-0.1373,-0.5653,-0.0,1.9135,0.0466,0.0,0.0724,0.0154,0.0001,0.0394,"qualifying_position_contrib (-39.21), humidity_contrib (-19.46), quali_stage_contrib (-2.30)"
HUL,0.01,17,2026,Chinese Grand Prix,11.0,0.2556771357288567,2,1.219194315351355,0.1878264502883634,,7.0,2.0,0,0.5,0.75,1,0.375,0.0,0.6095971576756775,0.2289969404641965,0.0,0.2372505908095607,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,-28.7523,-2.2966,-0.537,1.416,-0.17,0.0,0.0,3.7541,-19.4568,-1.3857,0.0453,-0.0886,-0.1972,0.0,0.0532,-0.1373,-0.5653,-0.0266,1.9135,0.0466,0.0,0.0724,0.0154,-0.0019,0.0394,"qualifying_position_contrib (-28.75), humidity_contrib (-19.46), constructor_position_contrib (3.75)"
BOR,0.01,18,2026,Chinese Grand Prix,16.0,-0.2188240458902648,2,1.2116323955963382,0.1699605020979558,,7.0,2.0,0,0.5,0.75,1,0.5454545454545454,1.0,0.8811871967973369,0.2059296503137027,0.0,-0.2372505908095607,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,-41.8215,-2.2966,-0.7762,1.416,0.1455,0.0,0.5378,3.7541,-19.4568,-1.3857,0.041,-0.0886,-0.196,0.0,0.0774,-0.1373,-0.5653,-0.0239,1.9135,0.0466,0.0,0.0724,0.0154,0.0019,0.0394,"qualifying_position_contrib (-41.82), humidity_contrib (-19.46), constructor_position_contrib (3.75)"
STR,0.01,19,2026,Chinese Grand Prix,21.0,-1.7953173334300532,1,1.194310159501596,0.0,,9.0,0.0,0,0.5,0.75,1,0.7159090909090909,1.0,1.1400233340697057,0.0,0.0,-0.3075326807220477,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,-54.8908,-1.1483,-1.0042,0.0,1.194,0.0,0.5378,4.8267,-19.4568,-1.3857,0.0,-0.0886,-0.1932,0.0,0.1015,-0.1373,-0.5653,-0.0,1.9135,0.0466,0.0,0.0724,0.0154,0.0025,0.0394,"qualifying_position_contrib (-54.89), humidity_contrib (-19.46), constructor_position_contrib (4.83)"
PER,0.01,20,2026,Chinese Grand Prix,22.0,-2.502797818626481,1,1.3052633524700894,0.2135501697975099,,,,0,0.5,0.75,1,0.75,1.0,1.3052633524700894,0.2787392105504547,0.0,-0.5707992937644053,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,-57.5046,-1.1483,-1.1498,0.0,1.6645,0.0,0.5378,0.0,-19.4568,-1.3857,0.0515,-0.0886,-0.2111,0.0,0.1064,-0.1373,-0.5653,-0.0324,1.9135,0.0466,0.0,0.0724,0.0154,0.0047,0.0394,"qualifying_position_contrib (-57.50), humidity_contrib (-19.46), temperature_contrib (1.91)"
ALO,0.01,21,2026,Chinese Grand Prix,19.0,-1.1802519719859574,1,1.1704402583539104,0.1057667745509395,,9.0,0.0,0,0.5,0.75,1,0.6477272727272727,0.0,1.0108347685783772,0.1237936909306615,0.0,0.307532680722048,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,-49.6631,-1.1483,-0.8904,0.0,0.7849,0.0,0.0,4.8267,-19.4568,-1.3857,0.0255,-0.0886,-0.1893,0.0,0.0919,-0.1373,-0.5653,-0.0144,1.9135,0.0466,0.0,0.0724,0.0154,-0.0025,0.0394,"qualifying_position_contrib (-49.66), humidity_contrib (-19.46), constructor_position_contrib (4.83)"
BOT,0.01,22,2026,Chinese Grand Prix,20.0,-1.3611992310976702,1,1.2187222890579552,0.1860972754526483,,,,0,0.5,0.75,1,0.6818181818181818,0.0,1.1079293536890502,0.2268008975271004,0.0,0.5707992937644055,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,-52.2769,-1.1483,-0.9759,0.0,0.9053,0.0,0.0,0.0,-19.4568,-1.3857,0.0449,-0.0886,-0.1971,0.0,0.0967,-0.1373,-0.5653,-0.0263,1.9135,0.0466,0.0,0.0724,0.0154,-0.0047,0.0394,"qualifying_position_contrib (-52.28), humidity_contrib (-19.46), temperature_contrib (1.91)"
