driver,pred_top3_prob,rank,season,race,qualifying_position,gap_to_pole_norm,quali_stage,fp_long_run_pace,fp_consistency,avg_finish_last5,constructor_position,points_per_race,track_type,overtaking_difficulty,rain_probability,wet_track_flag,rain_x_quali,reliability,quali_x_pace,pace_consistency,form_x_quali,teammate_gap,temperature,humidity,wind_speed,temperature_vs_baseline,humidity_vs_baseline,wind_speed_vs_baseline,rain_probability_vs_baseline,target_top3,qualifying_position_contrib,quali_x_pace_contrib,gap_to_pole_norm_contrib,avg_finish_last5_contrib,wet_track_flag_contrib,constructor_position_contrib,points_per_race_contrib,track_type_contrib,form_x_quali_contrib,humidity_contrib,temperature_vs_baseline_contrib,reliability_contrib,teammate_gap_contrib,rain_x_quali_contrib,wind_speed_contrib,pace_consistency_contrib,rain_probability_vs_baseline_contrib,fp_long_run_pace_contrib,fp_consistency_contrib,temperature_contrib,quali_stage_contrib,wind_speed_vs_baseline_contrib,humidity_vs_baseline_contrib,overtaking_difficulty_contrib,rain_probability_contrib,top_features
HAD,0.0452913886264909,11,2026,Chinese Grand Prix,9.0,0.4366243948405695,3,1.2112971511080224,0.2113281603431437,,,,0,0.5,0.75,1,0.3068181818181818,0.0,0.4955306527260092,0.2559811985725493,0.0,-0.046207561876166,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,2.9476,0.0493,0.0383,0.0,0.0309,0.0,0.0,0.0,0.0,1.5915,0.1152,0.0,-0.001,0.0066,0.2047,0.0054,0.0091,0.0244,0.0041,0.5499,0.0548,-0.0792,0.0336,0.0082,0.0117,"qualifying_position_contrib (2.95), humidity_contrib (1.59), temperature_contrib (0.55)"
LAW,0.0450778854259999,12,2026,Chinese Grand Prix,14.0,-0.0635045101720569,2,1.175307816631503,0.1609785930182712,,,,0,0.5,0.75,1,0.4772727272727273,1.0,0.7479231560382291,0.1891993986847157,0.0,0.0073776779466168,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,4.5851,0.0745,-0.0056,0.0,0.0309,0.0,0.0,0.0,0.0,1.5915,0.1152,0.0216,0.0002,0.0102,0.2047,0.004,0.0091,0.0237,0.0031,0.5499,0.0365,-0.0792,0.0336,0.0082,0.0117,"qualifying_position_contrib (4.59), humidity_contrib (1.59), temperature_contrib (0.55)"
LIN,0.0450222355517988,13,2026,Chinese Grand Prix,15.0,-0.0782598660652907,2,1.194310159501596,0.0,,,,0,0.5,0.75,1,0.5113636363636364,1.0,0.814302381478361,0.0,0.0,-0.0073776779466168,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,4.9126,0.0811,-0.0069,0.0,0.0309,0.0,0.0,0.0,0.0,1.5915,0.1152,0.0216,-0.0002,0.011,0.2047,0.0,0.0091,0.0241,0.0,0.5499,0.0365,-0.0792,0.0336,0.0082,0.0117,"qualifying_position_contrib (4.91), humidity_contrib (1.59), temperature_contrib (0.55)"
BEA,0.044525008610432,14,2026,Chinese Grand Prix,10.0,0.3038261918014986,3,1.1864028905898198,0.196136079513007,,5.0,6.0,0,0.5,0.75,1,0.3409090909090909,1.0,0.5392740411771908,0.2326964116831862,0.0,0.0955215144666945,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,3.2751,0.0537,0.0267,0.0,0.0309,0.1458,0.1694,0.0,0.0,1.5915,0.1152,0.0216,0.0021,0.0073,0.2047,0.0049,0.0091,0.0239,0.0038,0.5499,0.0548,-0.0792,0.0336,0.0082,0.0117,"qualifying_position_contrib (3.28), humidity_contrib (1.59), temperature_contrib (0.55)"
BOT,0.0443215854066341,15,2026,Chinese Grand Prix,20.0,-1.3611992310976702,1,1.2187222890579552,0.1860972754526483,,,,0,0.5,0.75,1,0.6818181818181818,0.0,1.1079293536890502,0.2268008975271004,0.0,0.5707992937644055,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,6.5502,0.1103,-0.1194,0.0,0.0309,0.0,0.0,0.0,0.0,1.5915,0.1152,0.0,0.0123,0.0146,0.2047,0.0048,0.0091,0.0246,0.0036,0.5499,0.0183,-0.0792,0.0336,0.0082,0.0117,"qualifying_position_contrib (6.55), humidity_contrib (1.59), temperature_contrib (0.55)"
OCO,0.0442715704626026,16,2026,Chinese Grand Prix,13.0,0.1127831628681094,2,1.232562728458826,0.2052203923589243,,5.0,6.0,0,0.5,0.75,1,0.4431818181818182,1.0,0.7283325213620336,0.2529470067413066,0.0,-0.0955215144666945,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,4.2576,0.0725,0.0099,0.0,0.0309,0.1458,0.1694,0.0,0.0,1.5915,0.1152,0.0216,-0.0021,0.0095,0.2047,0.0053,0.0091,0.0249,0.0039,0.5499,0.0365,-0.0792,0.0336,0.0082,0.0117,"qualifying_position_contrib (4.26), humidity_contrib (1.59), temperature_contrib (0.55)"
STR,0.0441637663186091,17,2026,Chinese Grand Prix,21.0,-1.7953173334300532,1,1.194310159501596,0.0,,9.0,0.0,0,0.5,0.75,1,0.7159090909090909,1.0,1.1400233340697057,0.0,0.0,-0.3075326807220477,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,6.8777,0.1135,-0.1575,0.0,0.0309,0.2625,0.0,0.0,0.0,1.5915,0.1152,0.0216,-0.0066,0.0154,0.2047,0.0,0.0091,0.0241,0.0,0.5499,0.0183,-0.0792,0.0336,0.0082,0.0117,"qualifying_position_contrib (6.88), humidity_contrib (1.59), temperature_contrib (0.55)"
ALB,0.0441059791956114,18,2026,Chinese Grand Prix,18.0,-0.8455383725132263,1,1.178182680799215,0.1375052894803188,,11.0,0.0,0,0.5,0.75,1,0.6136363636363636,1.0,0.9639676479266306,0.1620063505839941,0.0,-0.1766759718794638,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,5.8952,0.096,-0.0742,0.0,0.0309,0.3208,0.0,0.0,0.0,1.5915,0.1152,0.0216,-0.0038,0.0132,0.2047,0.0034,0.0091,0.0238,0.0026,0.5499,0.0183,-0.0792,0.0336,0.0082,0.0117,"qualifying_position_contrib (5.90), humidity_contrib (1.59), temperature_contrib (0.55)"
BOR,0.0440337139334688,19,2026,Chinese Grand Prix,16.0,-0.2188240458902648,2,1.2116323955963382,0.1699605020979558,,7.0,2.0,0,0.5,0.75,1,0.5454545454545454,1.0,0.8811871967973369,0.2059296503137027,0.0,-0.2372505908095607,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,5.2402,0.0877,-0.0192,0.0,0.0309,0.2042,0.0565,0.0,0.0,1.5915,0.1152,0.0216,-0.0051,0.0117,0.2047,0.0043,0.0091,0.0245,0.0033,0.5499,0.0365,-0.0792,0.0336,0.0082,0.0117,"qualifying_position_contrib (5.24), humidity_contrib (1.59), temperature_contrib (0.55)"
ALO,0.043934820212656,20,2026,Chinese Grand Prix,19.0,-1.1802519719859574,1,1.1704402583539104,0.1057667745509395,,9.0,0.0,0,0.5,0.75,1,0.6477272727272727,0.0,1.0108347685783772,0.1237936909306615,0.0,0.307532680722048,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,6.2227,0.1007,-0.1036,0.0,0.0309,0.2625,0.0,0.0,0.0,1.5915,0.1152,0.0,0.0066,0.0139,0.2047,0.0026,0.0091,0.0236,0.002,0.5499,0.0183,-0.0792,0.0336,0.0082,0.0117,"qualifying_position_contrib (6.22), humidity_contrib (1.59), temperature_contrib (0.55)"
HUL,0.0439242663169798,21,2026,Chinese Grand Prix,11.0,0.2556771357288567,2,1.219194315351355,0.1878264502883634,,7.0,2.0,0,0.5,0.75,1,0.375,0.0,0.6095971576756775,0.2289969404641965,0.0,0.2372505908095607,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,3.6026,0.0607,0.0224,0.0,0.0309,0.2042,0.0565,0.0,0.0,1.5915,0.1152,0.0,0.0051,0.008,0.2047,0.0048,0.0091,0.0246,0.0036,0.5499,0.0365,-0.0792,0.0336,0.0082,0.0117,"qualifying_position_contrib (3.60), humidity_contrib (1.59), temperature_contrib (0.55)"
SAI,0.0439209616464781,22,2026,Chinese Grand Prix,17.0,-0.4921864287542987,1,1.163302715550373,0.1050060356968653,,11.0,0.0,0,0.5,0.75,1,0.5795454545454546,1.0,0.8989157347434701,0.1221538064753428,0.0,0.1766759718794637,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,5.5677,0.0895,-0.0432,0.0,0.0309,0.3208,0.0,0.0,0.0,1.5915,0.1152,0.0216,0.0038,0.0124,0.2047,0.0026,0.0091,0.0235,0.002,0.5499,0.0183,-0.0792,0.0336,0.0082,0.0117,"qualifying_position_contrib (5.57), humidity_contrib (1.59), temperature_contrib (0.55)"
