driver,pred_top3_prob,rank,season,race,qualifying_position,gap_to_pole_norm,quali_stage,fp_long_run_pace,fp_consistency,avg_finish_last5,constructor_position,points_per_race,track_type,overtaking_difficulty,rain_probability,wet_track_flag,rain_x_quali,reliability,quali_x_pace,pace_consistency,form_x_quali,teammate_gap,temperature,humidity,wind_speed,temperature_vs_baseline,humidity_vs_baseline,wind_speed_vs_baseline,rain_probability_vs_baseline,target_top3,quali_x_pace_contrib,qualifying_position_contrib,gap_to_pole_norm_contrib,avg_finish_last5_contrib,points_per_race_contrib,form_x_quali_contrib,teammate_gap_contrib,constructor_position_contrib,fp_long_run_pace_contrib,pace_consistency_contrib,fp_consistency_contrib,rain_x_quali_contrib,reliability_contrib,humidity_contrib,temperature_vs_baseline_contrib,humidity_vs_baseline_contrib,temperature_contrib,wind_speed_vs_baseline_contrib,wind_speed_contrib,quali_stage_contrib,rain_probability_vs_baseline_contrib,overtaking_difficulty_contrib,rain_probability_contrib,track_type_contrib,wet_track_flag_contrib,top_features
BOR,0.0310541783342137,11,2026,Japanese Grand Prix,9.0,0.1933149897008047,3,1.34339227864253,0.2610602146045808,0.5909090909090909,10,1.0,0,0.5,0.05,0,0.0204545454545454,0.4,0.5495695685355805,0.3507062765605556,0.2417355371900826,0.048115845454165,22.3,76.2,15.8,4.300000000000001,11.200000000000005,-0.1999999999999993,-0.3,0,0.1184,1.3848,0.0284,0.038,0.0641,0.0141,0.0019,0.3389,0.0333,0.0077,0.0054,0.0004,0.0065,1.1329,0.0629,0.1511,0.2912,-0.0024,0.1829,0.0341,-0.0032,0.0043,0.0003,0.0,0.0,"qualifying_position_contrib (1.38), humidity_contrib (1.13), constructor_position_contrib (0.34)"
LIN,0.0309242646929442,12,2026,Japanese Grand Prix,10.0,0.1549926349143,3,1.1610470474896355,0.0,0.6363636363636364,7,3.0,0,0.5,0.05,0,0.0227272727272727,1.0,0.5277486579498344,0.0,0.2892561983471074,0.0749414938047182,22.3,76.2,15.8,4.300000000000001,11.200000000000005,-0.1999999999999993,-0.3,0,0.1137,1.5387,0.0228,0.041,0.1922,0.0169,0.0029,0.2372,0.0287,0.0,0.0,0.0004,0.0162,1.1329,0.0629,0.1511,0.2912,-0.0024,0.1829,0.0341,-0.0032,0.0043,0.0003,0.0,0.0,"qualifying_position_contrib (1.54), humidity_contrib (1.13), temperature_contrib (0.29)"
ALO,0.0307827775574699,13,2026,Japanese Grand Prix,21.0,-1.8266989114899883,1,1.1923110017760814,0.1715945740173723,0.5909090909090909,14,0.0,0,0.5,0.05,0,0.0477272727272727,0.0,1.138115047149896,0.2045940984459931,0.5640495867768596,0.116670280127799,22.3,76.2,15.8,4.300000000000001,11.200000000000005,-0.1999999999999993,-0.3,0,0.2451,3.2312,-0.2684,0.038,0.0,0.0329,0.0045,0.4744,0.0295,0.0045,0.0036,0.0009,0.0,1.1329,0.0629,0.1511,0.2912,-0.0024,0.1829,0.0114,-0.0032,0.0043,0.0003,0.0,0.0,"qualifying_position_contrib (3.23), humidity_contrib (1.13), constructor_position_contrib (0.47)"
STR,0.0301202383427226,14,2026,Japanese Grand Prix,22.0,-2.0600394717455868,1,1.235908099740023,0.2104468755736609,0.2272727272727272,14,0.0,0,0.5,0.05,0,0.05,0.4,1.235908099740023,0.2600929980864683,0.2272727272727272,-0.1166702801277992,22.3,76.2,15.8,4.300000000000001,11.200000000000005,-0.1999999999999993,-0.3,0,0.2662,3.3851,-0.3027,0.0146,0.0,0.0132,-0.0045,0.4744,0.0306,0.0057,0.0044,0.001,0.0065,1.1329,0.0629,0.1511,0.2912,-0.0024,0.1829,0.0114,-0.0032,0.0043,0.0003,0.0,0.0,"qualifying_position_contrib (3.39), humidity_contrib (1.13), constructor_position_contrib (0.47)"
PER,0.0297629281427098,15,2026,Japanese Grand Prix,19.0,-1.451991442466403,1,1.142869750355768,0.1473150464362101,0.2727272727272727,15,0.0,0,0.5,0.05,0,0.0431818181818181,1.0,0.987023875307254,0.1683619103441998,0.2355371900826446,0.0527996888169579,22.3,76.2,15.8,4.300000000000001,11.200000000000005,-0.1999999999999993,-0.3,0,0.2126,2.9235,-0.2133,0.0176,0.0,0.0137,0.002,0.5083,0.0283,0.0037,0.0031,0.0008,0.0162,1.1329,0.0629,0.1511,0.2912,-0.0024,0.1829,0.0114,-0.0032,0.0043,0.0003,0.0,0.0,"qualifying_position_contrib (2.92), humidity_contrib (1.13), constructor_position_contrib (0.51)"
BOT,0.0296236358904719,16,2026,Japanese Grand Prix,20.0,-1.557590820100319,1,1.1756636790489168,0.1841355120599734,0.5909090909090909,15,0.0,0,0.5,0.05,0,0.0454545454545454,0.6,1.0687851627717424,0.2164814335519845,0.5371900826446281,-0.0527996888169579,22.3,76.2,15.8,4.300000000000001,11.200000000000005,-0.1999999999999993,-0.3,0,0.2302,3.0773,-0.2289,0.038,0.0,0.0313,-0.002,0.5083,0.0291,0.0047,0.0038,0.0009,0.0097,1.1329,0.0629,0.1511,0.2912,-0.0024,0.1829,0.0114,-0.0032,0.0043,0.0003,0.0,0.0,"qualifying_position_contrib (3.08), humidity_contrib (1.13), constructor_position_contrib (0.51)"
LAW,0.0295876464711261,17,2026,Japanese Grand Prix,14.0,0.0051096473048635,2,1.1838910706865675,0.1688140691379397,0.4090909090909091,7,3.0,0,0.5,0.05,0,0.0318181818181818,1.0,0.753385226800543,0.1998574690586717,0.2603305785123967,-0.0749414938047182,22.3,76.2,15.8,4.300000000000001,11.200000000000005,-0.1999999999999993,-0.3,0,0.1623,2.1541,0.0008,0.0263,0.1922,0.0152,-0.0029,0.2372,0.0293,0.0044,0.0035,0.0006,0.0162,1.1329,0.0629,0.1511,0.2912,-0.0024,0.1829,0.0228,-0.0032,0.0043,0.0003,0.0,0.0,"qualifying_position_contrib (2.15), humidity_contrib (1.13), temperature_contrib (0.29)"
COL,0.0295812155150898,18,2026,Japanese Grand Prix,15.0,-0.1073025934022048,2,1.1562357125959593,0.1773744962046915,0.3636363636363636,5,4.5,0,0.5,0.05,0,0.034090909090909,1.0,0.7883425313154268,0.2050867270155807,0.2479338842975206,-0.3985524897796307,22.3,76.2,15.8,4.300000000000001,11.200000000000005,-0.1999999999999993,-0.3,0,0.1698,2.308,-0.0158,0.0234,0.2883,0.0145,-0.0154,0.1694,0.0286,0.0045,0.0037,0.0007,0.0162,1.1329,0.0629,0.1511,0.2912,-0.0024,0.1829,0.0228,-0.0032,0.0043,0.0003,0.0,0.0,"qualifying_position_contrib (2.31), humidity_contrib (1.13), temperature_contrib (0.29)"
ALB,0.0295075984857795,19,2026,Japanese Grand Prix,17.0,-0.4998938279928257,1,1.1359940233452352,0.1483449244234948,0.4545454545454545,11,1.0,0,0.5,0.05,0,0.0386363636363636,0.4,0.8778135634940454,0.1685189475386908,0.3512396694214876,-0.023419216813971,22.3,76.2,15.8,4.300000000000001,11.200000000000005,-0.1999999999999993,-0.3,0,0.189,2.6157,-0.0734,0.0293,0.0641,0.0205,-0.0009,0.3728,0.0281,0.0037,0.0031,0.0008,0.0065,1.1329,0.0629,0.1511,0.2912,-0.0024,0.1829,0.0114,-0.0032,0.0043,0.0003,0.0,0.0,"qualifying_position_contrib (2.62), humidity_contrib (1.13), constructor_position_contrib (0.37)"
SAI,0.0294636585690086,20,2026,Japanese Grand Prix,16.0,-0.4530553943648836,2,1.0934644016531296,0.0317621874418994,0.3181818181818182,11,1.0,0,0.5,0.05,0,0.0363636363636363,1.0,0.7952468375659125,0.0347308212863511,0.2314049586776859,0.023419216813971,22.3,76.2,15.8,4.300000000000001,11.200000000000005,-0.1999999999999993,-0.3,0,0.1713,2.4619,-0.0666,0.0205,0.0641,0.0135,0.0009,0.3728,0.0271,0.0008,0.0007,0.0007,0.0162,1.1329,0.0629,0.1511,0.2912,-0.0024,0.1829,0.0228,-0.0032,0.0043,0.0003,0.0,0.0,"qualifying_position_contrib (2.46), humidity_contrib (1.13), constructor_position_contrib (0.37)"
HUL,0.0294520811545794,21,2026,Japanese Grand Prix,13.0,0.0970832987924747,2,1.145408235183081,0.1657162378604429,0.5909090909090909,10,1.0,0,0.5,0.05,0,0.0295454545454545,0.6,0.6768321389718206,0.1898127435489096,0.3491735537190083,-0.0481158454541649,22.3,76.2,15.8,4.300000000000001,11.200000000000005,-0.1999999999999993,-0.3,0,0.1458,2.0003,0.0143,0.038,0.0641,0.0204,-0.0019,0.3389,0.0284,0.0042,0.0035,0.0006,0.0097,1.1329,0.0629,0.1511,0.2912,-0.0024,0.1829,0.0228,-0.0032,0.0043,0.0003,0.0,0.0,"qualifying_position_contrib (2.00), humidity_contrib (1.13), constructor_position_contrib (0.34)"
HAD,0.0292982547037226,22,2026,Japanese Grand Prix,8.0,0.4453909234075872,3,1.1532463127006365,0.1799443877709202,0.5909090909090909,8,2.0,0,0.5,0.05,0,0.0181818181818181,0.6,0.4193622955275042,0.2075202016879873,0.2148760330578512,0.1209283195485239,22.3,76.2,15.8,4.300000000000001,11.200000000000005,-0.1999999999999993,-0.3,0,0.0903,1.2309,0.0654,0.038,0.1281,0.0125,0.0047,0.2711,0.0285,0.0045,0.0037,0.0004,0.0097,1.1329,0.0629,0.1511,0.2912,-0.0024,0.1829,0.0341,-0.0032,0.0043,0.0003,0.0,0.0,"qualifying_position_contrib (1.23), humidity_contrib (1.13), temperature_contrib (0.29)"
