driver,pred_top3_prob,rank,season,race,qualifying_position,gap_to_pole_norm,quali_stage,fp_long_run_pace,fp_consistency,avg_finish_last5,constructor_position,points_per_race,track_type,overtaking_difficulty,rain_probability,wet_track_flag,rain_x_quali,reliability,quali_x_pace,pace_consistency,form_x_quali,teammate_gap,temperature,humidity,wind_speed,temperature_vs_baseline,humidity_vs_baseline,wind_speed_vs_baseline,rain_probability_vs_baseline,target_top3,qualifying_position_contrib,gap_to_pole_norm_contrib,quali_x_pace_contrib,avg_finish_last5_contrib,form_x_quali_contrib,points_per_race_contrib,teammate_gap_contrib,constructor_position_contrib,fp_long_run_pace_contrib,pace_consistency_contrib,fp_consistency_contrib,rain_x_quali_contrib,reliability_contrib,temperature_vs_baseline_contrib,humidity_contrib,temperature_contrib,wind_speed_vs_baseline_contrib,humidity_vs_baseline_contrib,wind_speed_contrib,rain_probability_vs_baseline_contrib,quali_stage_contrib,overtaking_difficulty_contrib,rain_probability_contrib,track_type_contrib,wet_track_flag_contrib,top_features
COL,0.0506724594017263,11,2026,Australian Grand Prix,16.0,-0.6992856116647836,2,1.271669293080092,0.2869336338004283,,,,0,0.5,1.0,1,0.8421052631578947,0.8,1.0708794046990249,0.3648846912558926,0.0,-0.3051568625540314,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,2.8143,-0.1161,0.1709,0.0,0.0,0.0,-0.0117,0.0,0.032,0.0075,0.0058,0.0135,0.0124,-0.1322,1.2378,0.1689,0.0765,0.3321,0.2697,0.0082,0.0217,0.0047,0.0076,0.0,0.0011,"qualifying_position_contrib (2.81), humidity_contrib (1.24), humidity_vs_baseline_contrib (0.33)"
OCO,0.0483007832914592,12,2026,Australian Grand Prix,13.0,-0.0810354271925025,2,1.2906203346603633,0.2867520623316199,,,,0,0.5,1.0,1,0.6842105263157895,0.8,0.8830560184518276,0.3700880426509846,0.0,-0.0714281342779246,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,2.2867,-0.0135,0.1409,0.0,0.0,0.0,-0.0027,0.0,0.0325,0.0076,0.0058,0.011,0.0124,-0.1322,1.2378,0.1689,0.0765,0.3321,0.2697,0.0082,0.0217,0.0047,0.0076,0.0,0.0011,"qualifying_position_contrib (2.29), humidity_contrib (1.24), humidity_vs_baseline_contrib (0.33)"
GAS,0.0470872479165661,13,2026,Australian Grand Prix,14.0,-0.0889718865567208,2,1.2316081944098864,0.2336401570044891,,,,0,0.5,1.0,1,0.7368421052631579,0.8,0.9075007748283374,0.2877531319099412,0.0,0.3051568625540314,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,2.4626,-0.0148,0.1448,0.0,0.0,0.0,0.0117,0.0,0.031,0.0059,0.0048,0.0118,0.0124,-0.1322,1.2378,0.1689,0.0765,0.3321,0.2697,0.0082,0.0217,0.0047,0.0076,0.0,0.0011,"qualifying_position_contrib (2.46), humidity_contrib (1.24), humidity_vs_baseline_contrib (0.33)"
BEA,0.0469176083665787,14,2026,Australian Grand Prix,12.0,0.0618208413633466,2,1.227611237924208,0.2487576024255398,,,,0,0.5,1.0,1,0.631578947368421,0.8,0.7753334134258155,0.3053776282566748,0.0,0.0714281342779246,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,2.1108,0.0103,0.1237,0.0,0.0,0.0,0.0027,0.0,0.0309,0.0063,0.0051,0.0101,0.0124,-0.1322,1.2378,0.1689,0.0765,0.3321,0.2697,0.0082,0.0217,0.0047,0.0076,0.0,0.0011,"qualifying_position_contrib (2.11), humidity_contrib (1.24), humidity_vs_baseline_contrib (0.33)"
LIN,0.0457948424062967,15,2026,Australian Grand Prix,9.0,-0.6810317551270941,3,1.199462078934585,0.212613283098106,,,,0,0.5,1.0,1,0.4736842105263157,0.8,0.5681662479163821,0.2550215705539617,0.0,-0.4972191791680179,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,1.5831,-0.1131,0.0907,0.0,0.0,0.0,-0.0191,0.0,0.0302,0.0053,0.0043,0.0076,0.0124,-0.1322,1.2378,0.1689,0.0765,0.3321,0.2697,0.0082,0.0326,0.0047,0.0076,0.0,0.0011,"qualifying_position_contrib (1.58), humidity_contrib (1.24), humidity_vs_baseline_contrib (0.33)"
LAW,0.0453835676118139,16,2026,Australian Grand Prix,8.0,0.3134066032089416,3,1.1931668325454097,0.2087496320349598,,,,0,0.5,1.0,1,0.4210526315789473,0.8,0.5023860347559619,0.2490731372501727,0.0,0.4972191791680179,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,1.4072,0.052,0.0802,0.0,0.0,0.0,0.0191,0.0,0.03,0.0051,0.0043,0.0067,0.0124,-0.1322,1.2378,0.1689,0.0765,0.3321,0.2697,0.0082,0.0326,0.0047,0.0076,0.0,0.0011,"qualifying_position_contrib (1.41), humidity_contrib (1.24), humidity_vs_baseline_contrib (0.33)"
SAI,0.0445269349427897,17,2026,Australian Grand Prix,10.0,0.0,1,1.2462967570705816,0.2141923513954861,,,,0,0.5,1.0,1,0.5263157894736842,0.8,0.6559456616160956,0.2669472329335168,0.0,0.2190880492910712,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,1.759,0.0,0.1047,0.0,0.0,0.0,0.0084,0.0,0.0313,0.0055,0.0044,0.0084,0.0124,-0.1322,1.2378,0.1689,0.0765,0.3321,0.2697,0.0082,0.0109,0.0047,0.0076,0.0,0.0011,"qualifying_position_contrib (1.76), humidity_contrib (1.24), humidity_vs_baseline_contrib (0.33)"
ALB,0.0440809959813445,18,2026,Australian Grand Prix,15.0,-0.4381760985821425,2,1.2510320542639852,0.2092850751553094,,,,0,0.5,1.0,1,0.7894736842105263,0.8,0.9876568849452516,0.2618223374983393,0.0,-0.2190880492910712,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,2.6385,-0.0727,0.1576,0.0,0.0,0.0,-0.0084,0.0,0.0315,0.0054,0.0043,0.0127,0.0124,-0.1322,1.2378,0.1689,0.0765,0.3321,0.2697,0.0082,0.0217,0.0047,0.0076,0.0,0.0011,"qualifying_position_contrib (2.64), humidity_contrib (1.24), humidity_vs_baseline_contrib (0.33)"
ALO,0.0437202489653363,19,2026,Australian Grand Prix,17.0,-1.2540441212233526,1,1.2231587459567057,0.1761274286217169,,,,0,0.5,1.0,1,0.8947368421052632,0.8,1.0944051937507366,0.2154318047215185,0.0,-0.6270220606116763,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,2.9902,-0.2082,0.1746,0.0,0.0,0.0,-0.0241,0.0,0.0308,0.0044,0.0036,0.0143,0.0124,-0.1322,1.2378,0.1689,0.0765,0.3321,0.2697,0.0082,0.0109,0.0047,0.0076,0.0,0.0011,"qualifying_position_contrib (2.99), humidity_contrib (1.24), humidity_vs_baseline_contrib (0.33)"
HUL,0.0432698189058584,20,2026,Australian Grand Prix,11.0,0.0681700088547257,2,1.1786657607135338,0.1904209396025122,,,,0,0.5,1.0,1,0.5789473684210527,0.8,0.6823854404130986,0.2244426416323809,0.0,-0.0325394833932755,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,1.9349,0.0113,0.1089,0.0,0.0,0.0,-0.0013,0.0,0.0296,0.0046,0.0039,0.0093,0.0124,-0.1322,1.2378,0.1689,0.0765,0.3321,0.2697,0.0082,0.0217,0.0047,0.0076,0.0,0.0011,"qualifying_position_contrib (1.93), humidity_contrib (1.24), humidity_vs_baseline_contrib (0.33)"
BOR,0.0432451036673881,21,2026,Australian Grand Prix,10.0,0.1332489756412769,2,1.2053975758006612,0.2131460070206315,,,,0,0.5,1.0,1,0.5263157894736842,0.8,0.6344197767371901,0.25692568015426,0.0,0.0325394833932755,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,1.759,0.0221,0.1012,0.0,0.0,0.0,0.0013,0.0,0.0303,0.0053,0.0043,0.0084,0.0124,-0.1322,1.2378,0.1689,0.0765,0.3321,0.2697,0.0082,0.0217,0.0047,0.0076,0.0,0.0011,"qualifying_position_contrib (1.76), humidity_contrib (1.24), humidity_vs_baseline_contrib (0.33)"
VER,0.0422937572888842,22,2026,Australian Grand Prix,10.0,0.0,1,1.2435531226673302,0.2199298230657789,,,,0,0.5,1.0,1,0.5263157894736842,0.8,0.6545016435091211,0.2734944182411228,0.0,-0.4309079726380714,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,1.759,0.0,0.1044,0.0,0.0,0.0,-0.0166,0.0,0.0313,0.0056,0.0045,0.0084,0.0124,-0.1322,1.2378,0.1689,0.0765,0.3321,0.2697,0.0082,0.0109,0.0047,0.0076,0.0,0.0011,"qualifying_position_contrib (1.76), humidity_contrib (1.24), humidity_vs_baseline_contrib (0.33)"
