driver,pred_top3_prob,rank,season,race,qualifying_position,gap_to_pole_norm,quali_stage,fp_long_run_pace,fp_consistency,avg_finish_last5,constructor_position,points_per_race,track_type,overtaking_difficulty,rain_probability,wet_track_flag,rain_x_quali,reliability,quali_x_pace,pace_consistency,form_x_quali,teammate_gap,temperature,humidity,wind_speed,temperature_vs_baseline,humidity_vs_baseline,wind_speed_vs_baseline,rain_probability_vs_baseline,target_top3,qualifying_position_contrib,quali_x_pace_contrib,gap_to_pole_norm_contrib,avg_finish_last5_contrib,points_per_race_contrib,temperature_vs_baseline_contrib,form_x_quali_contrib,reliability_contrib,temperature_contrib,humidity_contrib,teammate_gap_contrib,overtaking_difficulty_contrib,fp_consistency_contrib,fp_long_run_pace_contrib,pace_consistency_contrib,humidity_vs_baseline_contrib,wind_speed_vs_baseline_contrib,rain_x_quali_contrib,track_type_contrib,rain_probability_contrib,rain_probability_vs_baseline_contrib,wind_speed_contrib,quali_stage_contrib,constructor_position_contrib,wet_track_flag_contrib,top_features
SAI,0.0429628912943004,11,2026,Miami Grand Prix,13.0,0.0145434222416951,2,1.201293978472638,0.2164075422696887,0.4545454545454546,11,0.6666666666666666,1,0.55,0.82,1,0.4845454545454545,1.0,0.7098555327338316,0.2599690774246399,0.2685950413223141,0.1239171100019735,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,5.4139,0.0822,0.0006,0.0144,0.021,-0.1289,0.0063,0.0222,0.5621,1.9035,0.0025,0.011,0.0043,0.0235,0.0051,0.3499,-0.1043,0.0088,0.0173,0.0134,0.0075,0.2272,0.0303,0.1627,0.0,"qualifying_position_contrib (5.41), humidity_contrib (1.90), temperature_contrib (0.56)"
HAD,0.0429581325490692,12,2026,Miami Grand Prix,22.0,0.5252917221969169,3,1.1747419102004253,0.207423352112157,0.6363636363636364,8,2.6666666666666665,1,0.55,0.82,1,0.82,0.7894736842105263,1.1747419102004253,0.2436689048804107,0.6363636363636364,-0.270454009924943,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,9.162,0.136,0.021,0.0202,0.084,-0.1289,0.015,0.0175,0.5621,1.9035,-0.0055,0.011,0.0041,0.023,0.0048,0.3499,-0.1043,0.0149,0.0173,0.0134,0.0075,0.2272,0.0455,0.1183,0.0,"qualifying_position_contrib (9.16), humidity_contrib (1.90), temperature_contrib (0.56)"
GAS,0.0429325390454211,13,2026,Miami Grand Prix,9.0,0.5115231544189193,3,1.2058879184861715,0.193162068480188,0.6363636363636364,5,5.0,1,0.55,0.82,1,0.3354545454545454,1.0,0.493317784835252,0.2329318046900573,0.2603305785123967,-0.0157355060319972,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,3.7481,0.0571,0.0204,0.0202,0.1575,-0.1289,0.0061,0.0222,0.5621,1.9035,-0.0003,0.011,0.0039,0.0236,0.0045,0.3499,-0.1043,0.0061,0.0173,0.0134,0.0075,0.2272,0.0455,0.0739,0.0,"qualifying_position_contrib (3.75), humidity_contrib (1.90), temperature_contrib (0.56)"
HUL,0.0427825915840951,14,2026,Miami Grand Prix,10.0,0.0991217671636802,2,1.1979005710446755,0.2219020373630205,0.5,10,0.6666666666666666,1,0.55,0.82,1,0.3727272727272727,0.7894736842105263,0.5445002595657616,0.2658165772731392,0.2272727272727272,1.408983435948366,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,4.1645,0.063,0.004,0.0159,0.021,-0.1289,0.0054,0.0175,0.5621,1.9035,0.0288,0.011,0.0044,0.0234,0.0052,0.3499,-0.1043,0.0068,0.0173,0.0134,0.0075,0.2272,0.0303,0.1479,0.0,"qualifying_position_contrib (4.16), humidity_contrib (1.90), temperature_contrib (0.56)"
COL,0.0427415836948367,15,2026,Miami Grand Prix,8.0,0.5429941664829138,3,1.1027308127744808,0.1274605654377139,0.4545454545454545,5,5.0,1,0.55,0.82,1,0.2981818181818181,1.0,0.4009930228270839,0.1405546929218252,0.1652892561983471,0.0157355060319972,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,3.3316,0.0464,0.0217,0.0144,0.1575,-0.1289,0.0039,0.0222,0.5621,1.9035,0.0003,0.011,0.0025,0.0216,0.0027,0.3499,-0.1043,0.0054,0.0173,0.0134,0.0075,0.2272,0.0455,0.0739,0.0,"qualifying_position_contrib (3.33), humidity_contrib (1.90), temperature_contrib (0.56)"
LAW,0.0426942905682913,16,2026,Miami Grand Prix,11.0,0.0597830020836871,2,1.205581681782555,0.1997099859567448,0.5454545454545454,6,2.6666666666666665,1,0.55,0.82,1,0.41,1.0,0.6027908408912775,0.2407667007385029,0.2727272727272727,0.207839808839289,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,4.581,0.0698,0.0024,0.0173,0.084,-0.1289,0.0064,0.0222,0.5621,1.9035,0.0042,0.011,0.004,0.0236,0.0047,0.3499,-0.1043,0.0074,0.0173,0.0134,0.0075,0.2272,0.0303,0.0887,0.0,"qualifying_position_contrib (4.58), humidity_contrib (1.90), temperature_contrib (0.56)"
STR,0.0425921743613738,17,2026,Miami Grand Prix,18.0,-1.0318677288860836,1,1.3260234446999646,0.2280527110096379,0.2272727272727272,14,0.0,1,0.55,0.82,1,0.6709090909090909,0.2105263157894737,1.0849282729363348,0.3024032414261657,0.1859504132231405,-0.0216363207939962,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,7.4962,0.1256,-0.0412,0.0072,0.0,-0.1289,0.0044,0.0047,0.5621,1.9035,-0.0004,0.011,0.0045,0.0259,0.0059,0.3499,-0.1043,0.0122,0.0173,0.0134,0.0075,0.2272,0.0152,0.207,0.0,"qualifying_position_contrib (7.50), humidity_contrib (1.90), temperature_contrib (0.56)"
PER,0.0425673348404788,18,2026,Miami Grand Prix,20.0,-1.5583515348733026,1,1.2029388273056396,0.1889972242164724,0.2954545454545454,15,0.0,1,0.55,0.82,1,0.7454545454545454,1.0,1.093580752096036,0.2273520992629844,0.268595041322314,-0.110804188308641,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,8.3291,0.1266,-0.0622,0.0094,0.0,-0.1289,0.0063,0.0222,0.5621,1.9035,-0.0023,0.011,0.0038,0.0235,0.0044,0.3499,-0.1043,0.0135,0.0173,0.0134,0.0075,0.2272,0.0152,0.2218,0.0,"qualifying_position_contrib (8.33), humidity_contrib (1.90), temperature_contrib (0.56)"
ALO,0.0425397662549024,19,2026,Miami Grand Prix,17.0,-0.9885950872980912,1,1.2544770591629846,0.1973199944497389,0.5977272727272727,14,0.0,1,0.55,0.82,1,0.6336363636363636,0.4736842105263158,0.9693686366259426,0.2475334063513649,0.4618801652892561,0.0216363207939962,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,7.0797,0.1122,-0.0394,0.019,0.0,-0.1289,0.0109,0.0105,0.5621,1.9035,0.0004,0.011,0.0039,0.0245,0.0048,0.3499,-0.1043,0.0115,0.0173,0.0134,0.0075,0.2272,0.0152,0.207,0.0,"qualifying_position_contrib (7.08), humidity_contrib (1.90), temperature_contrib (0.56)"
BOT,0.0425316007950072,20,2026,Miami Grand Prix,19.0,-1.3367431582560207,1,1.2075383495689171,0.1923882919922998,0.4090909090909091,15,0.0,1,0.55,0.82,1,0.7081818181818181,0.7894736842105263,1.0428740291731555,0.2323162405887646,0.353305785123967,0.1108041883086408,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,7.9126,0.1207,-0.0533,0.013,0.0,-0.1289,0.0083,0.0175,0.5621,1.9035,0.0023,0.011,0.0038,0.0236,0.0045,0.3499,-0.1043,0.0128,0.0173,0.0134,0.0075,0.2272,0.0152,0.2218,0.0,"qualifying_position_contrib (7.91), humidity_contrib (1.90), temperature_contrib (0.56)"
ALB,0.0425283324160526,21,2026,Miami Grand Prix,15.0,-0.2332907977622519,2,1.2505284962490204,0.227724355566094,0.4545454545454545,11,0.6666666666666666,1,0.55,0.82,1,0.559090909090909,0.6842105263157894,0.852633065624332,0.2847757959253448,0.3099173553719008,-0.1239171100019735,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,6.2468,0.0987,-0.0093,0.0144,0.021,-0.1289,0.0073,0.0152,0.5621,1.9035,-0.0025,0.011,0.0045,0.0245,0.0056,0.3499,-0.1043,0.0101,0.0173,0.0134,0.0075,0.2272,0.0303,0.1627,0.0,"qualifying_position_contrib (6.25), humidity_contrib (1.90), temperature_contrib (0.56)"
LIN,0.0425007353658094,22,2026,Miami Grand Prix,16.0,-0.3558966155948909,1,1.223903192449301,0.1771226222361104,0.5454545454545454,6,2.6666666666666665,1,0.55,0.82,1,0.5963636363636363,1.0,0.8901114126904007,0.216780942809767,0.396694214876033,-0.207839808839289,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,6.6633,0.1031,-0.0142,0.0173,0.084,-0.1289,0.0094,0.0222,0.5621,1.9035,-0.0042,0.011,0.0035,0.0239,0.0042,0.3499,-0.1043,0.0108,0.0173,0.0134,0.0075,0.2272,0.0152,0.0887,0.0,"qualifying_position_contrib (6.66), humidity_contrib (1.90), temperature_contrib (0.56)"
