driver,pred_top3_prob,rank,season,race,qualifying_position,gap_to_pole_norm,quali_stage,fp_long_run_pace,fp_consistency,avg_finish_last5,constructor_position,points_per_race,track_type,overtaking_difficulty,rain_probability,wet_track_flag,rain_x_quali,reliability,quali_x_pace,pace_consistency,form_x_quali,teammate_gap,temperature,humidity,wind_speed,temperature_vs_baseline,humidity_vs_baseline,wind_speed_vs_baseline,rain_probability_vs_baseline,target_top3,qualifying_position_contrib,quali_stage_contrib,quali_x_pace_contrib,gap_to_pole_norm_contrib,points_per_race_contrib,avg_finish_last5_contrib,fp_consistency_contrib,temperature_vs_baseline_contrib,constructor_position_contrib,overtaking_difficulty_contrib,humidity_contrib,form_x_quali_contrib,reliability_contrib,rain_probability_contrib,fp_long_run_pace_contrib,pace_consistency_contrib,wet_track_flag_contrib,track_type_contrib,wind_speed_vs_baseline_contrib,rain_x_quali_contrib,temperature_contrib,humidity_vs_baseline_contrib,rain_probability_vs_baseline_contrib,wind_speed_contrib,teammate_gap_contrib,top_features
LAW,0.0151548429606647,11,2026,Canadian Grand Prix,12.0,0.0470181585907963,2,1.1736009371038,0.0,0.5606060606060607,7,2.0,1,0.55,0.0,0,0.0,0.5846153846153848,0.6401459656929818,0.0,0.3057851239669422,-0.2702051163046339,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,-31.0596,-2.2085,-0.4704,-0.0292,1.1758,0.268,0.0,-1.365,1.4082,-0.1031,-4.5075,0.0516,0.086,0.0,-0.146,-0.0,-0.0,0.0969,-0.2454,-0.0,0.9348,-0.9056,0.006,0.0358,0.0005,"qualifying_position_contrib (-31.06), humidity_contrib (-4.51), quali_stage_contrib (-2.21)"
BOR,0.0151502554793773,12,2026,Canadian Grand Prix,13.0,-0.1053827822098646,2,1.1527373635737337,0.151025365241727,0.5,11,0.5,1,0.55,0.0,0,0.0,0.8153846153846154,0.6811629875662972,0.1740925813615086,0.2954545454545454,-0.0810177415175973,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,-33.6479,-2.2085,-0.5006,0.0654,0.2939,0.239,0.0342,-1.365,2.2129,-0.1031,-4.5075,0.0499,0.12,0.0,-0.1434,-0.0205,-0.0,0.0969,-0.2454,-0.0,0.9348,-0.9056,0.006,0.0358,0.0001,"qualifying_position_contrib (-33.65), humidity_contrib (-4.51), constructor_position_contrib (2.21)"
COL,0.01,13,2026,Canadian Grand Prix,10.0,0.22219165376398,3,1.1736009371038,0.0,0.3939393939393938,4,5.25,1,0.55,0.0,0,0.0,1.0,0.5334549714108182,0.0,0.1790633608815426,0.2145875315871447,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,-25.883,-3.3127,-0.392,-0.138,3.0864,0.1883,0.0,-1.365,0.8047,-0.1031,-4.5075,0.0302,0.1472,0.0,-0.146,-0.0,-0.0,0.0969,-0.2454,-0.0,0.9348,-0.9056,0.006,0.0358,-0.0004,"qualifying_position_contrib (-25.88), humidity_contrib (-4.51), quali_stage_contrib (-3.31)"
OCO,0.01,14,2026,Canadian Grand Prix,17.0,-0.7833042085300767,1,1.1290439976708622,0.0908080040870279,0.4696969696969697,6,4.25,1,0.55,0.0,0,0.0,1.0,0.8724430891093026,0.10252623195493,0.3629476584022039,-0.1878735735732377,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,-44.0011,-1.1042,-0.6411,0.4863,2.4985,0.2246,0.0206,-1.365,1.207,-0.1031,-4.5075,0.0613,0.1472,0.0,-0.1405,-0.0121,-0.0,0.0969,-0.2454,-0.0,0.9348,-0.9056,0.006,0.0358,0.0003,"qualifying_position_contrib (-44.00), humidity_contrib (-4.51), points_per_race_contrib (2.50)"
GAS,0.01,15,2026,Canadian Grand Prix,14.0,-0.2069834094103094,2,1.1864540811945017,0.1580579868761608,0.6515151515151515,4,5.25,1,0.55,0.0,0,0.0,0.5846153846153848,0.7550162334874102,0.187528543594608,0.4146005509641873,-0.2145875315871447,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,-36.2362,-2.2085,-0.5548,0.1285,3.0864,0.3115,0.0358,-1.365,0.8047,-0.1031,-4.5075,0.07,0.086,0.0,-0.1476,-0.0221,-0.0,0.0969,-0.2454,-0.0,0.9348,-0.9056,0.006,0.0358,0.0004,"qualifying_position_contrib (-36.24), humidity_contrib (-4.51), points_per_race_contrib (3.09)"
BEA,0.01,16,2026,Canadian Grand Prix,16.0,-0.4075570613836012,2,1.1547593957358862,0.1576250470418455,0.7272727272727273,6,4.25,1,0.55,0.0,0,0.0,0.7230769230769232,0.8398250150806444,0.1820190040748821,0.5289256198347108,0.1878735735732377,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,-41.4128,-2.2085,-0.6171,0.253,2.4985,0.3477,0.0357,-1.365,1.207,-0.1031,-4.5075,0.0893,0.1064,0.0,-0.1437,-0.0215,-0.0,0.0969,-0.2454,-0.0,0.9348,-0.9056,0.006,0.0358,-0.0003,"qualifying_position_contrib (-41.41), humidity_contrib (-4.51), points_per_race_contrib (2.50)"
SAI,0.01,17,2026,Canadian Grand Prix,15.0,-0.282308012334776,2,1.174942368357195,0.1858401842895995,0.4090909090909091,9,1.25,1,0.55,0.0,0,0.0,1.0,0.801097069334451,0.2183515062651596,0.2789256198347107,0.2531257005252481,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,-38.8245,-2.2085,-0.5887,0.1753,0.7349,0.1956,0.0421,-1.365,1.8105,-0.1031,-4.5075,0.0471,0.1472,0.0,-0.1462,-0.0257,-0.0,0.0969,-0.2454,-0.0,0.9348,-0.9056,0.006,0.0358,-0.0005,"qualifying_position_contrib (-38.82), humidity_contrib (-4.51), quali_stage_contrib (-2.21)"
PER,0.01,18,2026,Canadian Grand Prix,20.0,-1.2948108144357686,1,1.1600281615238648,0.1495451412789243,0.2727272727272727,15,0.0,1,0.55,0.0,0,0.0,1.0,1.054571055930786,0.1734765753026171,0.2479338842975206,0.3691781410774808,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,-51.766,-1.1042,-0.7749,0.8039,0.0,0.1304,0.0339,-1.365,3.0176,-0.1031,-4.5075,0.0419,0.1472,0.0,-0.1443,-0.0205,-0.0,0.0969,-0.2454,-0.0,0.9348,-0.9056,0.006,0.0358,-0.0007,"qualifying_position_contrib (-51.77), humidity_contrib (-4.51), constructor_position_contrib (3.02)"
ALB,0.01,19,2026,Canadian Grand Prix,18.0,-0.7885594133852722,1,1.2809087600097064,0.1930337189443748,0.2727272727272727,9,1.25,1,0.55,0.0,0,0.0,0.8153846153846154,1.04801625818976,0.2472585815731013,0.2231404958677686,-0.2531257005252481,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,-46.5894,-1.1042,-0.7701,0.4896,0.7349,0.1304,0.0438,-1.365,1.8105,-0.1031,-4.5075,0.0377,0.12,0.0,-0.1594,-0.0292,-0.0,0.0969,-0.2454,-0.0,0.9348,-0.9056,0.006,0.0358,0.0005,"qualifying_position_contrib (-46.59), humidity_contrib (-4.51), constructor_position_contrib (1.81)"
ALO,0.01,20,2026,Canadian Grand Prix,19.0,-1.0907336925590088,1,1.1993650775475622,0.1655419146077327,0.1818181818181818,14,0.0,1,0.55,0.0,0,0.0,0.6923076923076923,1.0358152942456218,0.1985451912508752,0.1570247933884297,0.4374958041950181,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,-49.1777,-1.1042,-0.7612,0.6772,0.0,0.0869,0.0375,-1.365,2.8164,-0.1031,-4.5075,0.0265,0.1019,0.0,-0.1492,-0.0234,-0.0,0.0969,-0.2454,-0.0,0.9348,-0.9056,0.006,0.0358,-0.0008,"qualifying_position_contrib (-49.18), humidity_contrib (-4.51), constructor_position_contrib (2.82)"
BOT,0.01,21,2026,Canadian Grand Prix,22.0,-2.0331670965907302,1,1.2302916815589502,0.2187693730054333,0.2727272727272727,15,0.0,1,0.55,0.0,0,0.0,0.8769230769230769,1.2302916815589502,0.2691501397884518,0.2727272727272727,-0.3691781410774808,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,-56.9426,-1.1042,-0.9041,1.2624,0.0,0.1304,0.0496,-1.365,3.0176,-0.1031,-4.5075,0.046,0.1291,0.0,-0.1531,-0.0317,-0.0,0.0969,-0.2454,-0.0,0.9348,-0.9056,0.006,0.0358,0.0007,"qualifying_position_contrib (-56.94), humidity_contrib (-4.51), constructor_position_contrib (3.02)"
STR,0.01,22,2026,Canadian Grand Prix,21.0,-1.9657253009490447,1,1.2377977809202654,0.1723193278479709,0.2272727272727272,14,0.0,1,0.55,0.0,0,0.0,0.5384615384615384,1.1815342454238895,0.2132964816198901,0.2169421487603305,-0.4374958041950179,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,-54.3543,-1.1042,-0.8682,1.2205,0.0,0.1087,0.0391,-1.365,2.8164,-0.1031,-4.5075,0.0366,0.0792,0.0,-0.154,-0.0251,-0.0,0.0969,-0.2454,-0.0,0.9348,-0.9056,0.006,0.0358,0.0008,"qualifying_position_contrib (-54.35), humidity_contrib (-4.51), constructor_position_contrib (2.82)"
