driver,pred_top3_prob,rank,season,race,qualifying_position,gap_to_pole_norm,quali_stage,fp_long_run_pace,fp_consistency,avg_finish_last5,constructor_position,points_per_race,track_type,overtaking_difficulty,rain_probability,wet_track_flag,rain_x_quali,reliability,quali_x_pace,pace_consistency,form_x_quali,teammate_gap,temperature,humidity,wind_speed,temperature_vs_baseline,humidity_vs_baseline,wind_speed_vs_baseline,rain_probability_vs_baseline,target_top3,qualifying_position_contrib,quali_x_pace_contrib,gap_to_pole_norm_contrib,points_per_race_contrib,avg_finish_last5_contrib,form_x_quali_contrib,temperature_vs_baseline_contrib,teammate_gap_contrib,reliability_contrib,constructor_position_contrib,fp_long_run_pace_contrib,track_type_contrib,rain_x_quali_contrib,pace_consistency_contrib,temperature_contrib,rain_probability_contrib,fp_consistency_contrib,humidity_contrib,humidity_vs_baseline_contrib,overtaking_difficulty_contrib,quali_stage_contrib,wind_speed_contrib,rain_probability_vs_baseline_contrib,wind_speed_vs_baseline_contrib,wet_track_flag_contrib,top_features
BEA,0.0442198923264451,11,2026,Canadian Grand Prix,16.0,-0.4075570613836012,2,1.1547593957358862,0.1576250470418455,0.7272727272727273,6,4.25,1,0.55,0.0,0,0.0,0.7230769230769232,0.8398250150806444,0.1820190040748821,0.5289256198347108,0.1878735735732377,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,5.7828,0.084,-0.0234,0.1547,0.0231,0.0146,0.1573,0.0046,0.0173,0.1375,0.0256,0.0219,0.0,0.004,0.6321,0.0,0.0034,0.5541,-0.7349,0.0113,0.0395,0.2773,-0.0075,-0.0457,0.0,"qualifying_position_contrib (5.78), humidity_vs_baseline_contrib (-0.73), temperature_contrib (0.63)"
LAW,0.0439921443623627,12,2026,Canadian Grand Prix,12.0,0.0470181585907963,2,1.1736009371038,0.0,0.5606060606060607,7,2.0,1,0.55,0.0,0,0.0,0.5846153846153848,0.6401459656929818,0.0,0.3057851239669422,-0.2702051163046339,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,4.3371,0.064,0.0027,0.0728,0.0178,0.0084,0.1573,-0.0066,0.014,0.1604,0.026,0.0219,0.0,0.0,0.6321,0.0,0.0,0.5541,-0.7349,0.0113,0.0395,0.2773,-0.0075,-0.0457,0.0,"qualifying_position_contrib (4.34), humidity_vs_baseline_contrib (-0.73), temperature_contrib (0.63)"
BOT,0.0437163702283825,13,2026,Canadian Grand Prix,22.0,-2.0331670965907302,1,1.2302916815589502,0.2187693730054333,0.2727272727272727,15,0.0,1,0.55,0.0,0,0.0,0.8769230769230769,1.2302916815589502,0.2691501397884518,0.2727272727272727,-0.3691781410774808,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,7.9513,0.1231,-0.1168,0.0,0.0086,0.0075,0.1573,-0.009,0.021,0.3437,0.0272,0.0219,0.0,0.0059,0.6321,0.0,0.0047,0.5541,-0.7349,0.0113,0.0198,0.2773,-0.0075,-0.0457,0.0,"qualifying_position_contrib (7.95), humidity_vs_baseline_contrib (-0.73), temperature_contrib (0.63)"
OCO,0.0436233485768098,14,2026,Canadian Grand Prix,17.0,-0.7833042085300767,1,1.1290439976708622,0.0908080040870279,0.4696969696969697,6,4.25,1,0.55,0.0,0,0.0,1.0,0.8724430891093026,0.10252623195493,0.3629476584022039,-0.1878735735732377,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,6.1442,0.0873,-0.045,0.1547,0.0149,0.01,0.1573,-0.0046,0.024,0.1375,0.025,0.0219,0.0,0.0022,0.6321,0.0,0.0019,0.5541,-0.7349,0.0113,0.0198,0.2773,-0.0075,-0.0457,0.0,"qualifying_position_contrib (6.14), humidity_vs_baseline_contrib (-0.73), temperature_contrib (0.63)"
STR,0.0435887567674397,15,2026,Canadian Grand Prix,21.0,-1.9657253009490447,1,1.2377977809202654,0.1723193278479709,0.2272727272727272,14,0.0,1,0.55,0.0,0,0.0,0.5384615384615384,1.1815342454238895,0.2132964816198901,0.2169421487603305,-0.4374958041950179,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,7.5899,0.1182,-0.1129,0.0,0.0072,0.006,0.1573,-0.0106,0.0129,0.3208,0.0274,0.0219,0.0,0.0047,0.6321,0.0,0.0037,0.5541,-0.7349,0.0113,0.0198,0.2773,-0.0075,-0.0457,0.0,"qualifying_position_contrib (7.59), humidity_vs_baseline_contrib (-0.73), temperature_contrib (0.63)"
LIN,0.043519029709101,16,2026,Canadian Grand Prix,9.0,0.5874283912000642,3,1.1590573573060248,0.1370861613411154,0.4848484848484848,7,2.0,1,0.55,0.0,0,0.0,1.0,0.4741598279888283,0.1588907238872606,0.1983471074380165,0.2702051163046339,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,3.2528,0.0474,0.0337,0.0728,0.0154,0.0055,0.1573,0.0066,0.024,0.1604,0.0257,0.0219,0.0,0.0035,0.6321,0.0,0.0029,0.5541,-0.7349,0.0113,0.0593,0.2773,-0.0075,-0.0457,0.0,"qualifying_position_contrib (3.25), humidity_vs_baseline_contrib (-0.73), temperature_contrib (0.63)"
ALB,0.0435147813495411,17,2026,Canadian Grand Prix,18.0,-0.7885594133852722,1,1.2809087600097064,0.1930337189443748,0.2727272727272727,9,1.25,1,0.55,0.0,0,0.0,0.8153846153846154,1.04801625818976,0.2472585815731013,0.2231404958677686,-0.2531257005252481,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,6.5056,0.1049,-0.0453,0.0455,0.0086,0.0062,0.1573,-0.0061,0.0195,0.2062,0.0284,0.0219,0.0,0.0054,0.6321,0.0,0.0041,0.5541,-0.7349,0.0113,0.0198,0.2773,-0.0075,-0.0457,0.0,"qualifying_position_contrib (6.51), humidity_vs_baseline_contrib (-0.73), temperature_contrib (0.63)"
BOR,0.0434906337467165,18,2026,Canadian Grand Prix,13.0,-0.1053827822098646,2,1.1527373635737337,0.151025365241727,0.5,11,0.5,1,0.55,0.0,0,0.0,0.8153846153846154,0.6811629875662972,0.1740925813615086,0.2954545454545454,-0.0810177415175973,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,4.6985,0.0682,-0.0061,0.0182,0.0159,0.0082,0.1573,-0.002,0.0195,0.252,0.0255,0.0219,0.0,0.0038,0.6321,0.0,0.0032,0.5541,-0.7349,0.0113,0.0395,0.2773,-0.0075,-0.0457,0.0,"qualifying_position_contrib (4.70), humidity_vs_baseline_contrib (-0.73), temperature_contrib (0.63)"
HUL,0.0434517578971855,19,2026,Canadian Grand Prix,11.0,0.0566527008253299,2,1.148929309567839,0.112693305964861,0.5,11,0.5,1,0.55,0.0,0,0.0,0.4615384615384615,0.5744646547839195,0.129476642215125,0.25,0.0810177415175973,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,3.9757,0.0575,0.0033,0.0182,0.0159,0.0069,0.1573,0.002,0.0111,0.252,0.0254,0.0219,0.0,0.0028,0.6321,0.0,0.0024,0.5541,-0.7349,0.0113,0.0395,0.2773,-0.0075,-0.0457,0.0,"qualifying_position_contrib (3.98), humidity_vs_baseline_contrib (-0.73), temperature_contrib (0.63)"
ALO,0.0433161378161216,20,2026,Canadian Grand Prix,19.0,-1.0907336925590088,1,1.1993650775475622,0.1655419146077327,0.1818181818181818,14,0.0,1,0.55,0.0,0,0.0,0.6923076923076923,1.0358152942456218,0.1985451912508752,0.1570247933884297,0.4374958041950181,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,6.8671,0.1036,-0.0627,0.0,0.0058,0.0043,0.1573,0.0106,0.0166,0.3208,0.0265,0.0219,0.0,0.0043,0.6321,0.0,0.0035,0.5541,-0.7349,0.0113,0.0198,0.2773,-0.0075,-0.0457,0.0,"qualifying_position_contrib (6.87), humidity_vs_baseline_contrib (-0.73), temperature_contrib (0.63)"
SAI,0.0432826748856729,21,2026,Canadian Grand Prix,15.0,-0.282308012334776,2,1.174942368357195,0.1858401842895995,0.4090909090909091,9,1.25,1,0.55,0.0,0,0.0,1.0,0.801097069334451,0.2183515062651596,0.2789256198347107,0.2531257005252481,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,5.4214,0.0802,-0.0162,0.0455,0.013,0.0077,0.1573,0.0061,0.024,0.2062,0.026,0.0219,0.0,0.0048,0.6321,0.0,0.004,0.5541,-0.7349,0.0113,0.0395,0.2773,-0.0075,-0.0457,0.0,"qualifying_position_contrib (5.42), humidity_vs_baseline_contrib (-0.73), temperature_contrib (0.63)"
PER,0.0432671861756843,22,2026,Canadian Grand Prix,20.0,-1.2948108144357686,1,1.1600281615238648,0.1495451412789243,0.2727272727272727,15,0.0,1,0.55,0.0,0,0.0,1.0,1.054571055930786,0.1734765753026171,0.2479338842975206,0.3691781410774808,29.08,26.6,14.14,6.080000000000002,-35.4,-2.8599999999999994,-0.4,0,7.2285,0.1055,-0.0744,0.0,0.0086,0.0068,0.1573,0.009,0.024,0.3437,0.0257,0.0219,0.0,0.0038,0.6321,0.0,0.0032,0.5541,-0.7349,0.0113,0.0198,0.2773,-0.0075,-0.0457,0.0,"qualifying_position_contrib (7.23), humidity_vs_baseline_contrib (-0.73), temperature_contrib (0.63)"
