driver,pred_top3_prob,rank,season,race,qualifying_position,gap_to_pole_norm,quali_stage,fp_long_run_pace,fp_consistency,avg_finish_last5,constructor_position,points_per_race,track_type,overtaking_difficulty,rain_probability,wet_track_flag,rain_x_quali,reliability,quali_x_pace,pace_consistency,form_x_quali,teammate_gap,temperature,humidity,wind_speed,temperature_vs_baseline,humidity_vs_baseline,wind_speed_vs_baseline,rain_probability_vs_baseline,target_top3,qualifying_position_contrib,quali_x_pace_contrib,gap_to_pole_norm_contrib,avg_finish_last5_contrib,points_per_race_contrib,form_x_quali_contrib,teammate_gap_contrib,constructor_position_contrib,fp_long_run_pace_contrib,fp_consistency_contrib,pace_consistency_contrib,rain_x_quali_contrib,reliability_contrib,humidity_contrib,temperature_vs_baseline_contrib,temperature_contrib,rain_probability_vs_baseline_contrib,wind_speed_contrib,wind_speed_vs_baseline_contrib,quali_stage_contrib,humidity_vs_baseline_contrib,overtaking_difficulty_contrib,rain_probability_contrib,track_type_contrib,wet_track_flag_contrib,top_features
VER,0.0307698016102916,11,2026,Chinese Grand Prix,8.0,0.5290395185929017,3,1.202677605476799,0.1825734164359272,,,,0,0.5,0.75,1,0.2727272727272727,1.0,0.4373373110824723,0.2195769593028794,0.0,0.046207561876166,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,1.3983,0.0727,0.0855,0.0,0.0,0.0,0.0019,0.0,0.0305,0.004,0.0047,0.0054,0.0171,0.9801,0.0687,0.3841,0.0054,0.1144,-0.0515,0.0343,0.0226,0.005,0.006,0.0,0.0016,"qualifying_position_contrib (1.40), humidity_contrib (0.98), temperature_contrib (0.38)"
LIN,0.0299741342000981,12,2026,Chinese Grand Prix,15.0,-0.0782598660652907,2,1.194310159501596,0.0,,,,0,0.5,0.75,1,0.5113636363636364,1.0,0.814302381478361,0.0,0.0,-0.0073776779466168,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,2.6219,0.1354,-0.0126,0.0,0.0,0.0,-0.0003,0.0,0.0303,0.0,0.0,0.0102,0.0171,0.9801,0.0687,0.3841,0.0054,0.1144,-0.0515,0.0229,0.0226,0.005,0.006,0.0,0.0016,"qualifying_position_contrib (2.62), humidity_contrib (0.98), temperature_contrib (0.38)"
ALO,0.0297994016028967,13,2026,Chinese Grand Prix,19.0,-1.1802519719859574,1,1.1704402583539104,0.1057667745509395,,9.0,0.0,0,0.5,0.75,1,0.6477272727272727,0.0,1.0108347685783772,0.1237936909306615,0.0,0.307532680722048,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,3.3211,0.1681,-0.1907,0.0,0.0,0.0,0.0127,0.277,0.0297,0.0023,0.0027,0.0129,0.0,0.9801,0.0687,0.3841,0.0054,0.1144,-0.0515,0.0114,0.0226,0.005,0.006,0.0,0.0016,"qualifying_position_contrib (3.32), humidity_contrib (0.98), temperature_contrib (0.38)"
BEA,0.0297754971251126,14,2026,Chinese Grand Prix,10.0,0.3038261918014986,3,1.1864028905898198,0.196136079513007,,5.0,6.0,0,0.5,0.75,1,0.3409090909090909,1.0,0.5392740411771908,0.2326964116831862,0.0,0.0955215144666945,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,1.7479,0.0897,0.0491,0.0,0.3978,0.0,0.0039,0.1539,0.0301,0.0043,0.005,0.0068,0.0171,0.9801,0.0687,0.3841,0.0054,0.1144,-0.0515,0.0343,0.0226,0.005,0.006,0.0,0.0016,"qualifying_position_contrib (1.75), humidity_contrib (0.98), points_per_race_contrib (0.40)"
LAW,0.0297527118342973,15,2026,Chinese Grand Prix,14.0,-0.0635045101720569,2,1.175307816631503,0.1609785930182712,,,,0,0.5,0.75,1,0.4772727272727273,1.0,0.7479231560382291,0.1891993986847157,0.0,0.0073776779466168,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,2.4471,0.1244,-0.0103,0.0,0.0,0.0,0.0003,0.0,0.0298,0.0035,0.0041,0.0095,0.0171,0.9801,0.0687,0.3841,0.0054,0.1144,-0.0515,0.0229,0.0226,0.005,0.006,0.0,0.0016,"qualifying_position_contrib (2.45), humidity_contrib (0.98), temperature_contrib (0.38)"
COL,0.0297396881311558,16,2026,Chinese Grand Prix,12.0,0.2533473426930835,2,1.1923354390440146,0.1866616968136881,,,,0,0.5,0.75,1,0.409090909090909,1.0,0.6503647849330988,0.2225633562230496,0.0,-0.1879366382190267,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,2.0975,0.1081,0.0409,0.0,0.0,0.0,-0.0077,0.0,0.0302,0.0041,0.0048,0.0081,0.0171,0.9801,0.0687,0.3841,0.0054,0.1144,-0.0515,0.0229,0.0226,0.005,0.006,0.0,0.0016,"qualifying_position_contrib (2.10), humidity_contrib (0.98), temperature_contrib (0.38)"
HUL,0.0295041612432753,17,2026,Chinese Grand Prix,11.0,0.2556771357288567,2,1.219194315351355,0.1878264502883634,,7.0,2.0,0,0.5,0.75,1,0.375,0.0,0.6095971576756775,0.2289969404641965,0.0,0.2372505908095607,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,1.9227,0.1014,0.0413,0.0,0.1326,0.0,0.0098,0.2155,0.0309,0.0041,0.0049,0.0074,0.0,0.9801,0.0687,0.3841,0.0054,0.1144,-0.0515,0.0229,0.0226,0.005,0.006,0.0,0.0016,"qualifying_position_contrib (1.92), humidity_contrib (0.98), temperature_contrib (0.38)"
STR,0.0294635478314515,18,2026,Chinese Grand Prix,21.0,-1.7953173334300532,1,1.194310159501596,0.0,,9.0,0.0,0,0.5,0.75,1,0.7159090909090909,1.0,1.1400233340697057,0.0,0.0,-0.3075326807220477,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,3.6707,0.1896,-0.29,0.0,0.0,0.0,-0.0127,0.277,0.0303,0.0,0.0,0.0142,0.0171,0.9801,0.0687,0.3841,0.0054,0.1144,-0.0515,0.0114,0.0226,0.005,0.006,0.0,0.0016,"qualifying_position_contrib (3.67), humidity_contrib (0.98), temperature_contrib (0.38)"
SAI,0.0292658600950665,19,2026,Chinese Grand Prix,17.0,-0.4921864287542987,1,1.163302715550373,0.1050060356968653,,11.0,0.0,0,0.5,0.75,1,0.5795454545454546,1.0,0.8989157347434701,0.1221538064753428,0.0,0.1766759718794637,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,2.9715,0.1495,-0.0795,0.0,0.0,0.0,0.0073,0.3386,0.0295,0.0023,0.0026,0.0115,0.0171,0.9801,0.0687,0.3841,0.0054,0.1144,-0.0515,0.0114,0.0226,0.005,0.006,0.0,0.0016,"qualifying_position_contrib (2.97), humidity_contrib (0.98), temperature_contrib (0.38)"
BOR,0.0291975943205587,20,2026,Chinese Grand Prix,16.0,-0.2188240458902648,2,1.2116323955963382,0.1699605020979558,,7.0,2.0,0,0.5,0.75,1,0.5454545454545454,1.0,0.8811871967973369,0.2059296503137027,0.0,-0.2372505908095607,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,2.7967,0.1465,-0.0353,0.0,0.1326,0.0,-0.0098,0.2155,0.0307,0.0037,0.0044,0.0108,0.0171,0.9801,0.0687,0.3841,0.0054,0.1144,-0.0515,0.0229,0.0226,0.005,0.006,0.0,0.0016,"qualifying_position_contrib (2.80), humidity_contrib (0.98), temperature_contrib (0.38)"
ALB,0.0291517429078213,21,2026,Chinese Grand Prix,18.0,-0.8455383725132263,1,1.178182680799215,0.1375052894803188,,11.0,0.0,0,0.5,0.75,1,0.6136363636363636,1.0,0.9639676479266306,0.1620063505839941,0.0,-0.1766759718794638,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,3.1463,0.1603,-0.1366,0.0,0.0,0.0,-0.0073,0.3386,0.0299,0.003,0.0035,0.0122,0.0171,0.9801,0.0687,0.3841,0.0054,0.1144,-0.0515,0.0114,0.0226,0.005,0.006,0.0,0.0016,"qualifying_position_contrib (3.15), humidity_contrib (0.98), temperature_contrib (0.38)"
OCO,0.0290997809390961,22,2026,Chinese Grand Prix,13.0,0.1127831628681094,2,1.232562728458826,0.2052203923589243,,5.0,6.0,0,0.5,0.75,1,0.4431818181818182,1.0,0.7283325213620336,0.2529470067413066,0.0,-0.0955215144666945,29.14,70.0,9.58,5.139999999999997,2.0,-4.42,0.45,0,2.2723,0.1211,0.0182,0.0,0.3978,0.0,-0.0039,0.1539,0.0312,0.0045,0.0054,0.0088,0.0171,0.9801,0.0687,0.3841,0.0054,0.1144,-0.0515,0.0229,0.0226,0.005,0.006,0.0,0.0016,"qualifying_position_contrib (2.27), humidity_contrib (0.98), points_per_race_contrib (0.40)"
